사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100003,2022년 1월 1일 00시,토요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,이륜,남,32세,중상
2022010100100004,2022년 1월 1일 00시,토요일,부산광역시 강서구 대저1동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,60세,중상
2.02201E+15,2022년 1월 1일 05시,토요일,부산광역시 동래구 명장동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,33세,상해없음,승용,남,56세,상해없음
2022010100100038,2022년 1월 1일 06시,토요일,부산광역시 강서구 대항동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,26세,경상
2.02201E+15,2022년 1월 1일 14시,토요일,부산광역시 남구 용호동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,55세,기타불명,승용,남,51세,경상
2022010100100151,2022년 1월 1일 14시,토요일,부산광역시 강서구 송정동,중상사고,0,3,0,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승합,남,62세,중상
2022010100100152,2022년 1월 1일 14시,토요일,부산광역시 기장군 장안읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,45세,상해없음,보행자,여,67세,경상
2022010100100153,2022년 1월 1일 14시,토요일,부산광역시 기장군 기장읍,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,57세,상해없음
2022010100100172,2022년 1월 1일 15시,토요일,부산광역시 사하구 장림동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,52세,상해없음,이륜,남,21세,중상
2022010100100173,2022년 1월 1일 15시,토요일,부산광역시 기장군 기장읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,20세,상해없음,승용,남,24세,경상
2.02201E+15,2022년 1월 1일 16시,토요일,부산광역시 영도구 동삼동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,44세,경상
2022010100100201,2022년 1월 1일 16시,토요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,35세,상해없음,보행자,여,56세,경상
