구별,고령인구비율,65세이상인구,전체인구,면적
중구,28.9,"11,468","39,689",2.83
서구,27.0,"28,432","105,192",13.95
동구,28.2,"24,354","86,462",9.87
영도구,30.3,"32,778","108,156",14.20
부산진구,21.3,"75,685","355,917",29.67
동래구,20.1,"54,881","273,226",16.63
남구,22.2,"56,961","256,333",26.82
북구,20.0,"55,768","278,857",39.37
해운대구,19.7,"76,256","386,785",51.54
사하구,21.8,"65,745","301,987",41.77
금정구,23.6,"52,128","221,256",65.28
강서구,13.3,"18,996","143,207",181.50
연제구,21.7,"44,099","203,536",12.10
수영구,23.3,"40,697","174,806",10.22
사상구,21.1,"42,960","203,789",36.10
기장군,17.5,"31,204","178,614",218.32
