구군,급여종류,장기요양기관,설립연도,연면적(제곱미터),전화번호,주소,위도,경도
중구,노인요양시설,굿모닝노인요양원,2021,2318.96,051-468-5688,부산광역시 중구 대영로  235 (영주동),35.11259417,129.0364413
서구,노인요양시설,안나노인건강센터,2005,3076,051-245-0035,부산광역시 서구 꽃마을로163번길  94-16 (서대신동3가),35.12771243,129.004667
서구,노인요양시설,인창서구그린빌노인요양원,2012,1329,051-255-0904,부산광역시 서구 대영로73번길  111 (동대신동3가),35.11514693,129.0165358
서구,노인요양시설,실버웰요양센터,2013,1086,051-242-8050,부산광역시 서구 시약로  35 (서대신동3가),35.11256415,129.0084847
서구,노인요양시설,송도사랑요양원,2019,1654,051-255-3315,부산광역시 서구 암남공원로  522 (암남동),35.07974049,129.0121373
동구,노인요양시설,인창동구노인요양원,2010,4480,051-464-1004,부산광역시 동구 고관로  34 (초량동),35.12238557,129.0429785
동구,노인요양시설,송원노인전문요양원,2008,3192,051-637-8260,부산광역시 동구 안창로  51 (범일동),35.14562439,129.0439337
동구,노인요양공동생활가정,지혜실버홈,2013,259,051-751-8388,부산광역시 동구 범곡남로  15 (범일동),35.13803065,129.0547879
영도구,노인요양시설,파랑새노인건강센터,2003,3325,051-412-5422,부산광역시 영도구 와치로  78 (청학동),35.08595082,129.0595992
영도구,노인요양공동생활가정,영도요양원,2019,185,051-405-7888," 부산광역시 영도구 중리로  35 101호, 201호 (동삼동, 영도빌딩)",35.0740233,129.06803
영도구,노인요양공동생활가정,부산사랑실버홈,2022,373.78,051-853-2323,"부산광역시 영도구 태종로 382, 2층(청학동, 동구빌딩)",35.092878,129.065341
부산진구,노인요양시설,부산진구노인의료센터,2010,1956,051-894-8008,부산광역시 부산진구 가야대로507번길  6 (개금동),35.15376771,129.0277066
부산진구,노인요양시설,선재노인전문요양원,2010,1460,051-803-3319,부산광역시 부산진구 월드컵대로435번길  116 (초읍동),35.18047218,129.0553696
부산진구,노인요양시설,소망노인복지센터,2009,365,051-809-6688,부산광역시 부산진구 월드컵대로467번길  5 (초읍동),35.1821118,129.0502965
부산진구,노인요양시설,노인요양원 더불어사는집,2007,478,051-805-6400,부산광역시 부산진구 양정로  92 (양정동),35.17133166,129.0799291
부산진구,노인요양시설,빛과소금실버홈,2019,107,051-892-8090,부산광역시 부산진구 개금본동로  24 (개금동),35.15942095,129.0243423
부산진구,노인요양시설,애림실버웰,2020,678,051-711-0228,부산광역시 부산진구 안창로10번길  72-25 (범천동),35.14722597,129.045315
부산진구,노인요양시설,애림요양원,2017,2370,051-715-5001,부산광역시 부산진구 안창로10번길  72-25 (범천동),35.14722597,129.045315
부산진구,노인요양공동생활가정,새롬노인요양공동생활가정,2017,204.48,051-902-8090,부산광역시 부산진구 백양순환로35번길 49-1(당감동),35.166828,129.031942
동래구,노인요양시설,무량수노인요양원,2006,3171,051-552-7900,부산광역시 동래구 금정마을로  59-6 (온천동),35.21334194,129.0630115
동래구,노인요양공동생활가정,성지노인요양원,2009,362,051-506-0033,부산광역시 동래구 석사북로  40-1 (사직동),35.20177425,129.0633437
동래구,노인요양시설,황전요양원,1999,3562,051-554-6661,부산광역시 동래구 구만덕로  172 (온천동),35.2117003,129.0549065
동래구,노인요양시설,늘봄실버요양센터,2012,2129,051-529-0701,부산광역시 동래구 시실로107번길  23 (명장동),35.20368017,129.0872215
동래구,노인요양시설,안심노인종합복지센터,2010,993,051-503-0002,부산광역시 동래구 충렬대로86번길  5 (온천동),35.20657916,129.0704352
동래구,노인요양시설,대열실버센터,2018,6059,051-557-0070," 부산광역시 동래구 명륜로  147 7층701호 (명륜동, 동래타워)",35.20692904,129.0817626
동래구,노인요양공동생활가정,우하요양원,2020,2726,051-558-2477,부산시 동래구 명륜로 112번길 60,35.20279857,129.0860237
동래구,노인요양시설,원광효마을요양원,2013,1628.69,051-554-4438,부산광역시 동래구 명륜로207번길6(명륜동),35.21261,129.082666
남구,노인요양시설,한솔보금자리실버홈,2009,747,051-625-7356,부산광역시 남구 동명로101번길  57-13 (용호동),35.12288344,129.1066942
