시군구,읍면동수,인구수,면적,인구밀도
중구,9,"41,909",2.83,"14,809"
서구,13,"107,402",13.95,"7,699"
동구,12,"88,601",9.87,"8,977"
영도구,11,"110,254",14.20,"7,764"
부산진구,20,"358,644",29.67,"12,088"
동래구,13,"274,445",16.63,"16,503"
남구,17,"262,253",26.82,"9,778"
북구,13,"280,940",39.37,"7,136"
해운대구,18,"391,763",51.54,"7,601"
사하구,16,"306,511",41.77,"7,338"
금정구,16,"225,717",65.28,"3,458"
강서구,8,"148,257",181.50,817
연제구,12,"204,504",12.10,"16,901"
수영구,10,"176,615",10.22,"17,281"
사상구,12,"208,553",36.10,"5,777"
기장군,5,"180,878",218.32,828

